epoch,accuracy,iou_coefficient,jaccard_index,loss,val_accuracy,val_iou_coefficient,val_jaccard_index,val_loss
0,0.5232675671577454,0.2127063125371933,0.20231974124908447,1.391121745109558,0.5300230383872986,0.2205793857574463,0.21062661707401276,1.3357818126678467
1,0.5311932563781738,0.22086964547634125,0.21062976121902466,1.3538938760757446,0.5290131568908691,0.22295290231704712,0.2121829390525818,1.3397588729858398
2,0.5322464108467102,0.2235836237668991,0.21308700740337372,1.3460534811019897,0.531014621257782,0.2104763388633728,0.2020954042673111,1.3359813690185547
3,0.5348972678184509,0.22452419996261597,0.21426473557949066,1.341213345527649,0.5293722152709961,0.21870693564414978,0.20940269529819489,1.331689715385437
4,0.5365839004516602,0.227928027510643,0.21692302823066711,1.3322875499725342,0.5231385231018066,0.20464974641799927,0.197458416223526,1.3467743396759033
5,0.5365055799484253,0.22746144235134125,0.21656791865825653,1.3345472812652588,0.5225487947463989,0.23341813683509827,0.22085915505886078,1.3342233896255493
6,0.5324212312698364,0.22781819105148315,0.2168014496564865,1.3304588794708252,0.5326551198959351,0.25320085883140564,0.23757916688919067,1.3266370296478271
7,0.5337966680526733,0.2295817732810974,0.21840545535087585,1.3254332542419434,0.5343949198722839,0.2279691845178604,0.2169436514377594,1.3187729120254517
8,0.5360456109046936,0.23172128200531006,0.22021237015724182,1.3210458755493164,0.5379200577735901,0.2120557427406311,0.2044539600610733,1.3118501901626587
9,0.5360512733459473,0.23103737831115723,0.21975377202033997,1.3212475776672363,0.5311740040779114,0.2189706414937973,0.2097046822309494,1.3199927806854248
10,0.5349022746086121,0.23233619332313538,0.22031186521053314,1.3185170888900757,0.5359479188919067,0.23207035660743713,0.22024206817150116,1.3092331886291504
11,0.5355650782585144,0.2324243038892746,0.22052034735679626,1.3177549839019775,0.5365924835205078,0.23832227289676666,0.22537249326705933,1.3053324222564697
12,0.5360267162322998,0.2332647442817688,0.22139500081539154,1.3172310590744019,0.5369000434875488,0.2163344770669937,0.20755141973495483,1.3075430393218994
13,0.5380136966705322,0.23404939472675323,0.22187434136867523,1.3125431537628174,0.5385637283325195,0.23478096723556519,0.22315697371959686,1.294432520866394
14,0.5373566150665283,0.23663417994976044,0.22422654926776886,1.3053159713745117,0.5410496592521667,0.2552300691604614,0.23820161819458008,1.299058437347412
15,0.5393833518028259,0.23736850917339325,0.22469890117645264,1.3029941320419312,0.5407529473304749,0.2241963893175125,0.21416553854942322,1.2991547584533691
16,0.5375728011131287,0.2367396503686905,0.224328875541687,1.3038915395736694,0.5392528772354126,0.253458708524704,0.2381272315979004,1.2961864471435547
17,0.5388590097427368,0.24043242633342743,0.22739151120185852,1.2953267097473145,0.5416014790534973,0.23809710144996643,0.2269296497106552,1.2996841669082642
18,0.5341528654098511,0.22794006764888763,0.21689021587371826,1.3411645889282227,0.5307570695877075,0.23643392324447632,0.22334502637386322,1.3152556419372559
19,0.5369937419891357,0.23334911465644836,0.22133344411849976,1.3135212659835815,0.5369237065315247,0.23786363005638123,0.22530069947242737,1.3036584854125977
